document_id,superficie_util,zona_termica,tipo_inmueble,calef_proyec_kwh,acs_proyec_kwh,u_norm_muro_principal,u_norm_muro_secundario,u_norm_techo_principal,u_norm_techo_secundario,log_calef_proyec_kwh,log_acs_proyec_kwh,cluster_hdbscan,cluster_probability,cluster_is_noise
c4980b2024,57.8,e,depto,5886.1,3114.3,1.7,1.7,0.38,0.38,8.680518795464593,8.044080734770414,13,1.0,False
958f432018,87.3,d,casa_aislada,11972.9,3713.5,1.9,1.9,0.47,0.47,9.39048456002233,8.219999358591862,18,0.6184672797174137,False
c09c7b2023,57.6,d,depto,1701.0,2784.7,3.0,3.0,0.6,0.6,7.43955930913332,7.932254467278248,10,0.26828934242524505,False
6f728a2022,37.8,d,depto,1103.9,2431.1,1.9,1.9,0.47,0.47,7.007510112119129,7.796510360661771,25,0.6117155718179712,False
7cb64a2026,49.5,d,casa_pareada,5878.3,2482.0,1.9,1.9,0.47,0.47,8.679192986186894,7.817222785508166,27,1.0,False
a9639f2025,47.2,c,depto,473.6,2560.5,3.0,3.0,0.6,0.6,6.162472344001663,7.848348303379257,9,0.5062822166707116,False
8c25ee2026,29.1,e,depto,80.7,1786.1,1.7,1.7,0.38,0.38,4.403054001865957,7.488349473302751,13,0.11593750986806163,False
c9a09b2024,30.9,d,depto,566.7,1326.7,1.9,1.9,0.47,0.47,6.341593110176681,7.191203400901856,25,0.7500233924277857,False
f05ea52023,55.5,d,casa_pareada,8342.0,2708.3,1.7,1.7,0.38,0.38,9.029178142902074,7.904445577924863,32,0.9486013635719202,False
0c6f9c2025,45.9,d,depto,1914.2,2339.5,1.7,1.7,0.38,0.38,7.5575773348037085,7.758119860740125,26,0.8324386492243258,False
3ff2532021,51.3,f,casa_aislada,16800.6,2962.4,1.7,1.7,0.38,0.38,9.729229398951729,7.994092536774634,19,1.0,False
3c38a52025,66.8,d,casa_aislada,9725.5,3101.2,1.9,1.9,0.47,0.47,9.182609398237872,8.039866816190651,18,0.9169010004736765,False
82ee2b2025,38.7,d,depto,1361.7,0.0,1.9,1.9,0.47,0.47,7.217223304755775,0.0,12,1.0,False
c7a9792021,50.3,g,depto,1498.4,3646.2,1.0,1.0,0.0,0.0,7.312820307068962,8.201715028899232,-1,0.0,True
ab4ea32024,51.1,f,depto,8882.0,2952.1,1.7,1.7,0.38,0.38,9.0918946167697,7.9906107450378085,21,1.0,False
f51cfa2023,32.3,d,depto,2968.0,39343.5,1.9,1.9,0.47,0.47,7.99598047476376,10.580111472793279,25,0.200697586230976,False
ee2b7d2023,58.6,d,casa_pareada,5902.3,2819.9,1.9,1.9,0.47,0.47,8.683266795565443,7.944811261951141,27,0.8383839253614356,False
