cluster_hdbscan,n,pct_total,superficie_util_mediana,superficie_util_media,superficie_util_p25,superficie_util_p75,u_norm_muro_principal_mediana,u_norm_muro_principal_media,u_norm_muro_principal_p25,u_norm_muro_principal_p75,u_norm_muro_secundario_mediana,u_norm_muro_secundario_media,u_norm_muro_secundario_p25,u_norm_muro_secundario_p75,u_norm_techo_principal_mediana,u_norm_techo_principal_media,u_norm_techo_principal_p25,u_norm_techo_principal_p75,u_norm_techo_secundario_mediana,u_norm_techo_secundario_media,u_norm_techo_secundario_p25,u_norm_techo_secundario_p75,zona_termica_moda,zona_termica_pct_moda,tipo_inmueble_moda,tipo_inmueble_pct_moda,calef_proyec_moda,calef_proyec_pct_moda,acs_proyec_moda,acs_proyec_pct_moda,etiqueta_arquetipo_preliminar
-1,4300,43.0,50.5,54.23632558139534,42.7,58.824999999999996,1.9,2.1824655615222976,1.7,1.9,1.9,2.1824655615222976,1.7,1.9,0.47,0.48003969180480965,0.38,0.47,0.47,0.48003969180480965,0.38,0.47,d,55.76744186046512,depto,69.11627906976744,no posee,64.93023255813954,calefont 7 litros tiro forzado,11.093023255813954,ruido / observacion atipica
46,50,0.5,58.7,58.67999999999999,58.7,58.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,0.38,0.37999999999999995,0.38,0.38,0.38,0.37999999999999995,0.38,0.38,d,100.0,casa_pareada,100.0,no posee,100.0,calefont 7 litros tiro forzado,100.0,casa_pareada | d | sup_mediana 59 m2 | calef: no posee | acs: calefont 7 litros tiro forzado
47,53,0.53,52.3,52.29811320754719,52.3,52.3,1.9,1.9000000000000006,1.9,1.9,1.9,1.9000000000000006,1.9,1.9,0.47,0.4699999999999998,0.47,0.47,0.47,0.4699999999999998,0.47,0.47,d,100.0,depto,100.0,no posee,100.0,calefont glp,100.0,depto | d | sup_mediana 52 m2 | calef: no posee | acs: calefont glp
48,71,0.7100000000000001,51.0,50.93239436619719,50.8,51.0,1.9,1.9000000000000006,1.9,1.9,1.9,1.9000000000000006,1.9,1.9,0.47,0.46999999999999975,0.47,0.47,0.47,0.46999999999999975,0.47,0.47,d,100.0,depto,100.0,no posee,100.0,calefont glp,100.0,depto | d | sup_mediana 51 m2 | calef: no posee | acs: calefont glp
49,82,0.8200000000000001,51.1,51.167073170731726,51.1,51.3,1.9,1.9000000000000001,1.9,1.9,1.9,1.9000000000000001,1.9,1.9,0.47,0.4699999999999998,0.47,0.47,0.47,0.4699999999999998,0.47,0.47,d,100.0,depto,100.0,no posee,100.0,calefont glp,100.0,depto | d | sup_mediana 51 m2 | calef: no posee | acs: calefont glp
50,217,2.17,51.6,50.68202764976959,44.0,57.8,1.9,1.8926267281105988,1.9,1.9,1.9,1.8926267281105988,1.9,1.9,0.47,0.46668202764976935,0.47,0.47,0.47,0.46668202764976935,0.47,0.47,d,99.53917050691244,depto,100.0,no posee,70.50691244239631,calefont,71.88940092165899,depto | d | sup_mediana 52 m2 | calef: no posee | acs: calefont
51,67,0.67,47.1,49.16119402985075,41.05,54.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.6,0.6000000000000001,0.6,0.6,0.6,0.6000000000000001,0.6,0.6,c,100.0,depto,100.0,no posee,100.0,calefont 7 litros tiro forzado,95.52238805970148,depto | c | sup_mediana 47 m2 | calef: no posee | acs: calefont 7 litros tiro forzado
52,90,0.8999999999999999,38.599999999999994,40.146666666666675,31.0,47.550000000000004,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,0.47,0.4699999999999998,0.47,0.47,0.47,0.4699999999999998,0.47,0.47,d,100.0,depto,100.0,no posee,100.0,caldera con condensación,98.88888888888889,depto | d | sup_mediana 39 m2 | calef: no posee | acs: caldera con condensación
53,89,0.89,35.5,37.27078651685394,29.0,45.0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,0.47,0.4699999999999998,0.47,0.47,0.47,0.4699999999999998,0.47,0.47,d,100.0,depto,100.0,no considera,100.0,caldera con condensación,100.0,depto | d | sup_mediana 36 m2 | calef: no considera | acs: caldera con condensación
54,190,1.9,47.05,45.21684210526316,38.25,53.7,1.7,1.6999999999999995,1.7,1.7,1.7,1.6999999999999995,1.7,1.7,0.38,0.3800000000000001,0.38,0.38,0.38,0.3800000000000001,0.38,0.38,e,100.0,depto,100.0,no posee,100.0,calefont 7 litros tiro forzado,100.0,depto | e | sup_mediana 47 m2 | calef: no posee | acs: calefont 7 litros tiro forzado
55,82,0.8200000000000001,53.4,52.576829268292684,49.4,55.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,d,100.0,depto,100.0,no posee,100.0,calefont 7 litros tiro forzado,100.0,depto | d | sup_mediana 53 m2 | calef: no posee | acs: calefont 7 litros tiro forzado
56,85,0.8500000000000001,47.6,48.776470588235306,47.6,49.3,1.7,1.699999999999999,1.7,1.7,1.7,1.699999999999999,1.7,1.7,0.38,0.3799999999999999,0.38,0.38,0.38,0.3799999999999999,0.38,0.38,d,100.0,depto,100.0,no posee,100.0,calefont 7 litros tiro forzado,100.0,depto | d | sup_mediana 48 m2 | calef: no posee | acs: calefont 7 litros tiro forzado
57,62,0.62,30.7,31.04193548387097,29.8,31.7,1.9,1.9000000000000006,1.9,1.9,1.9,1.9000000000000006,1.9,1.9,0.47,0.4699999999999998,0.47,0.47,0.47,0.4699999999999998,0.47,0.47,d,100.0,depto,100.0,no posee,100.0,calefont 7 litros tiro forzado,100.0,depto | d | sup_mediana 31 m2 | calef: no posee | acs: calefont 7 litros tiro forzado
