cluster_hdbscan,variable,count,media,mediana,desviacion_estandar,minimo,p25,p75,maximo,coeficiente_variacion
37,u_norm_techo_principal,76,0.6,0.6,0.0,0.6,0.6,0.6,0.6,0.0
37,u_norm_techo_secundario,76,0.6,0.6,0.0,0.6,0.6,0.6,0.6,0.0
38,superficie_util,139,33.535251798561156,29.0,9.333691996028033,19.9,28.3,40.3,68.4,0.2783247924331524
38,u_norm_muro_principal,139,1.9000000000000001,1.9,2.228476621753326e-16,1.9,1.9,1.9,1.9,1.1728824325017504e-16
38,u_norm_muro_secundario,139,1.9000000000000001,1.9,2.228476621753326e-16,1.9,1.9,1.9,1.9,1.1728824325017504e-16
38,u_norm_techo_principal,139,0.46999999999999986,0.47,1.114238310876663e-16,0.47,0.47,0.47,0.47,2.370719810375879e-16
38,u_norm_techo_secundario,139,0.46999999999999986,0.47,1.114238310876663e-16,0.47,0.47,0.47,0.47,2.370719810375879e-16
39,superficie_util,85,51.478823529411784,51.6,2.190623640147507,47.8,50.1,53.1,55.6,0.04255387924504377
39,u_norm_muro_principal,85,1.9000000000000004,1.9,4.467247772604635e-16,1.9,1.9,1.9,1.9,2.3511830382129653e-16
39,u_norm_muro_secundario,85,1.9000000000000004,1.9,4.467247772604635e-16,1.9,1.9,1.9,1.9,2.3511830382129653e-16
39,u_norm_techo_principal,85,0.4699999999999998,0.47,1.6752179147267382e-16,0.47,0.47,0.47,0.47,3.564293435588806e-16
39,u_norm_techo_secundario,85,0.4699999999999998,0.47,1.6752179147267382e-16,0.47,0.47,0.47,0.47,3.564293435588806e-16
40,superficie_util,151,42.41456953642384,42.0,1.1072727668160414,41.4,42.0,42.4,45.7,0.026105953188211947
40,u_norm_muro_principal,151,1.9000000000000006,1.9,6.683505723655797e-16,1.9,1.9,1.9,1.9,3.517634591397787e-16
40,u_norm_muro_secundario,151,1.9000000000000006,1.9,6.683505723655797e-16,1.9,1.9,1.9,1.9,3.517634591397787e-16
40,u_norm_techo_principal,151,0.4699999999999998,0.47,1.6708764309139492e-16,0.47,0.47,0.47,0.47,3.5550562359871273e-16
40,u_norm_techo_secundario,151,0.4699999999999998,0.47,1.6708764309139492e-16,0.47,0.47,0.47,0.47,3.5550562359871273e-16
41,superficie_util,112,47.0,47.0,0.0,47.0,47.0,47.0,47.0,0.0
41,u_norm_muro_principal,112,1.6999999999999995,1.7,4.460851264677524e-16,1.7,1.7,1.7,1.7,2.624030155692662e-16
41,u_norm_muro_secundario,112,1.6999999999999995,1.7,4.460851264677524e-16,1.7,1.7,1.7,1.7,2.624030155692662e-16
41,u_norm_techo_principal,112,0.37999999999999995,0.38,5.576064080846905e-17,0.38,0.38,0.38,0.38,1.4673852844333963e-16
41,u_norm_techo_secundario,112,0.37999999999999995,0.38,5.576064080846905e-17,0.38,0.38,0.38,0.38,1.4673852844333963e-16
42,superficie_util,63,45.382539682539665,45.2,1.4844940142144747,42.4,45.0,47.0,49.9,0.03271068619338671
42,u_norm_muro_principal,63,1.9000000000000008,1.9,8.953124975160615e-16,1.9,1.9,1.9,1.9,4.712171039558216e-16
42,u_norm_muro_secundario,63,1.9000000000000008,1.9,8.953124975160615e-16,1.9,1.9,1.9,1.9,4.712171039558216e-16
42,u_norm_techo_principal,63,0.46999999999999975,0.47,2.2382812437901537e-16,0.47,0.47,0.47,0.47,4.762300518702458e-16
42,u_norm_techo_secundario,63,0.46999999999999975,0.47,2.2382812437901537e-16,0.47,0.47,0.47,0.47,4.762300518702458e-16
43,superficie_util,97,56.324742268041234,55.1,3.112609801538301,51.3,53.4,57.8,62.2,0.05526185609027459
43,u_norm_muro_principal,97,1.9,1.9,0.0,1.9,1.9,1.9,1.9,0.0
