cluster_hdbscan,variable,categoria,frecuencia,pct_cluster,n_categorias
51,tipo_inmueble,depto,67,100.0,1
51,calef_proyec,no posee,67,100.0,1
51,acs_proyec,calefont 7 litros tiro forzado,64,95.52238805970148,3
51,acs_proyec,calefont,2,2.9850746268656714,3
51,acs_proyec,"calefont splendid 10 litros, gas licuado",1,1.4925373134328357,3
52,zona_termica,d,90,100.0,1
52,tipo_inmueble,depto,90,100.0,1
52,calef_proyec,no posee,90,100.0,1
52,acs_proyec,caldera con condensación,89,98.88888888888889,2
52,acs_proyec,central térmica con bomba de calor,1,1.1111111111111112,2
53,zona_termica,d,89,100.0,1
53,tipo_inmueble,depto,89,100.0,1
53,calef_proyec,no considera,89,100.0,1
53,acs_proyec,caldera con condensación,89,100.0,1
54,zona_termica,e,190,100.0,1
54,tipo_inmueble,depto,190,100.0,1
54,calef_proyec,no posee,190,100.0,1
54,acs_proyec,calefont 7 litros tiro forzado,190,100.0,1
55,zona_termica,d,82,100.0,1
55,tipo_inmueble,depto,82,100.0,1
55,calef_proyec,no posee,82,100.0,1
55,acs_proyec,calefont 7 litros tiro forzado,82,100.0,1
56,zona_termica,d,85,100.0,1
56,tipo_inmueble,depto,85,100.0,1
56,calef_proyec,no posee,85,100.0,1
56,acs_proyec,calefont 7 litros tiro forzado,85,100.0,1
57,zona_termica,d,62,100.0,1
57,tipo_inmueble,depto,62,100.0,1
57,calef_proyec,no posee,62,100.0,1
57,acs_proyec,calefont 7 litros tiro forzado,62,100.0,1
58,zona_termica,d,68,100.0,1
58,tipo_inmueble,depto,68,100.0,1
58,calef_proyec,no posee,68,100.0,1
58,acs_proyec,calefont 7 litros tiro forzado,68,100.0,1
59,zona_termica,d,63,100.0,1
59,tipo_inmueble,depto,63,100.0,1
59,calef_proyec,no posee,63,100.0,1
59,acs_proyec,calefont 7 litros tiro forzado,63,100.0,1
60,zona_termica,d,125,100.0,1
60,tipo_inmueble,depto,125,100.0,1
60,calef_proyec,no posee,125,100.0,1
60,acs_proyec,calefont 7 litros tiro forzado,125,100.0,1
61,zona_termica,d,85,100.0,1
61,tipo_inmueble,depto,85,100.0,1
61,calef_proyec,no posee,85,100.0,1
61,acs_proyec,calefont 7 litros tiro forzado,85,100.0,1
